A232    నీ ధనము-నీ ఘనము-ప్రభు యేసుదే <br>
A233    జగతి కేతెంచె రక్షణ కర్త<br>
A234    యేసు క్రీస్తు దొరికెనేని<br>
A235    పరిశుద్ధ గ్రంథము చొప్పున<br>
A236    క్రైస్తవ సంఘమ క్రీస్తు జనమా<br>
A237    మన పాపము మన శాపము<br>
A238    యేసన్న స్వరమన్నా<br>
A239    వార్తలలో యేసు సువార్త<br>
A240    ఓ సంఘమా-సర్వాంగమా<br>
A241    మా యేసుక్రీస్తుని-మఱుఁగు గల్గెనురా <br>
A242    ఇదిగో మీ రాజు-ఏతెంచుచున్నాడు<br>
A243    చాటించుడి మనుష్యజాతి<br>
A244    పైనున్న ఆకాశమందున<br>
A245    యేసుని స్వీకరించు<br>
A246    సాటిలేనిది యేసుని రక్తము<br>
A247    దేవుని వారసులం<br>
A248    ఇదిగో నేనొక-నూతన క్రియను<br>
A249    సువార్తను చాటింప<br>
A250    నా పేరే తెలియని ప్రజలు<br>
A251    యెరుషలేములో గొఱ్ఱెల ద్వారము దగ్గర<br>
A252    ఎంత మంచి దేవుడవయ్యా యేసయ్యా<br>
A253    యెహోవా నాకు వెలుగాయె<br>
A254    రుచి చూచి యెరిగితిని<br>
A255    జీవజల ప్రవాహములు పారుచున్నవి <br>
A256    ఇది ప్రజ్వరిల్లుచున్న-ఉజ్జీవ జ్వాల<br>
A257    తరుణమిదే-తరుణమిదే<br>
A258    దొరుకుతావురా సహోదరా! <br>
A259    విశ్వాసి నీలోనీవే-విమర్శ చేసికొనుమా<br>
A260    ఓహో క్రైస్తవుడా-జయ జీవితమేది<br>
A261    ఓ మానవుండ నీ గతి<br>
A262    నీ జీవితములో గమ్యంబు ఏదో<br>
A263    న్యాయాధిపతియైన దేవుడు<br>
A264    నరకమనునది-నిరంతముండునయో <br>
A265    ఓ మానవుడా-పాపమనే విషమున్నది <br>
A266    ఓ మానవా ఒకసారి<br>
A267    రేయింబవళ్ళలోన వెళ్లేటి త్రోవలోన<br>
A268    అమూల్య రక్తము ద్వారా<br>
A269    అలలపైనే నడచిన నాదు <br>
A270    గొఱ్ఱెపిల్ల వివాహోత్సవ<br>
A271    దేవర నీ దీవెనలు<br>
A272    మంగళమే యేసునకు<br>
A273    క్రిస్మస్‌ పాపకు హోసన్న యనుచు <br>
A274    శ్రీ యేసుండు జన్మించె రేయిలో <br>
A275    వినరే యో నరులారా<br>
A276    రక్షకుండుదయించినాఁడట<br>
A277    చింత లేదిక యేసు పుట్టెను<br>
A278    సంతోషించుడి-యందరు నాతో <br>
A279    రారె గొల్లవారలారా- నేటి<br>
A280    కొనియాడదరమె నిన్ను<br>
A281    లాలిలాలి లాలి లాలమ్మ లాలీ<br>
A282    ఇదిగో నీ రాజు వచ్చుచుండె<br>
A283    మనకై యేసు-మరణించె<br>
